User;UserID;TweetId;LABEL;Is this a RT?;Is there an URL?;Has it been RT?;Has it been replied?;is it  a reply?;#ofREPLIES;#ofRT;#ofFollowers;#ofFollowings;#ofStatuses
KinolaiHealth;3041054075;727282905542599000;R;NO;YES;NO;NO;NO;0;0;20356;5295;5572
KinolaiHealth;3041054075;727282904175247000;NR;NO;YES;NO;NO;NO;0;0;20356;5295;5572
Allreptiles200;2812038732;727282116254298000;R;YES;NO;NO;NO;NO;0;0;3722;231;339
natures_enzymes;715261746429239000;727281945391063000;R;NO;YES;NO;NO;YES;0;0;260;1477;3956
realgerm75;215452833;727279771361530000;R;YES;NO;NO;NO;NO;0;0;37988;557;617
shagbert71;175149788;727279646266397000;R;YES;NO;NO;NO;NO;0;0;462;214;722
mcall;15431914;727279433623675000;R;NO;YES;YES;NO;NO;0;1;59853;46801;4706
MollyGarrity;518170154;727279360059838000;R;YES;NO;NO;NO;NO;0;0;15036;3222;4181
BillBishopKHOU;19720364;727279190471533000;R;YES;NO;NO;NO;NO;0;0;37392;6395;1501
DShengjuler;3310961033;727279177800405000;R;YES;NO;NO;NO;NO;0;0;214;75;158
F1LTHYBVBE;565032824;727278969637073000;R;YES;NO;NO;NO;NO;0;0;38100;1274;685
RegReader;798925214;727278752967758000;NR;YES;YES;NO;NO;NO;0;0;28547;415;713
IamSMuRFE;1699894262;727278702770397000;R;NO;NO;NO;NO;NO;0;0;17;104;90
wfaachannel8;15694286;727278687993864000;R;YES;NO;NO;NO;NO;0;0;115014;251868;3805
DavidSchechter;22645913;727278078142067000;R;NO;NO;YES;NO;NO;0;9;6266;8911;2744
ZikaVirusNews;4579860622;727276429642080000;NR;NO;YES;NO;NO;NO;0;0;1791;23;0
ZikaVirusNews;4579860622;727276428710933000;NR;NO;YES;NO;NO;NO;0;0;1791;23;0
ZikaVirusNews;4579860622;727276427536540000;NR;NO;YES;NO;NO;NO;0;0;1791;23;0
MikeHoelscher;18011125;727275604404396000;R;YES;YES;NO;NO;NO;0;0;923;18;64
CharleenDAdams;2350618921;727274510437761000;NR;YES;YES;NO;NO;NO;0;0;1395;3479;810
nauticalbluemma;3296235786;727274462479979000;NR;YES;YES;NO;NO;NO;0;0;1713;479;796
MerckManualPro;459492295;727274249719824000;NR;NO;YES;NO;NO;NO;0;0;3069;16012;924
RealPoxdoc;2471591280;727271818961256000;R;NO;NO;NO;NO;YES;0;0;4152;181;181
BrianRWasik;928196912;727271295327572000;NR;YES;YES;NO;NO;NO;0;0;5854;392;964
