tweetID;numberOfRetweet;numberOfFavorites;spam_score;positive_score;negative_score;neutral_score;user_credibility;tweet_rumor_score
796463365250027520;6057.00;0.00;0.00;0.00;1.00;0.00;0.70;0.71
796463365250023424;230.00;0.00;0.00;0.01;0.98;0.02;0.34;0.56
796463365241655296;40.00;0.00;0.00;0.00;0.88;0.12;0.66;0.31
796463365182914560;221.00;0.00;0.00;0.00;0.89;0.11;0.52;0.40
796463365170352132;211.00;0.00;0.00;0.00;0.97;0.02;0.44;0.74
796463365166010368;21066.00;0.00;0.00;0.00;0.87;0.13;0.48;0.26
796463365140856833;0.00;0.00;0.00;0.01;0.96;0.03;0.66;0.27
796463365094854657;55.00;0.00;0.00;0.01;0.68;0.32;0.58;0.26
796463365069611009;406.00;0.00;0.00;0.23;0.77;0.00;0.65;0.95
796463365065494533;326.00;0.00;0.00;0.03;0.09;0.88;0.81;0.58
796463365065494531;1080.00;0.00;0.32;0.01;0.77;0.22;0.69;0.35
796463365019181057;842.00;0.00;0.00;0.01;0.78;0.22;0.62;0.28
796463365006696448;0.00;0.00;0.00;0.00;0.51;0.49;0.58;0.72
796463364973219841;1147.00;0.00;0.00;0.00;1.00;0.00;0.68;0.52
796463364939612164;1683.00;0.00;0.00;0.00;0.99;0.01;0.69;0.71
796463364927000576;5082.00;0.00;0.00;0.03;0.95;0.02;0.69;0.86
796463364914499584;3470.00;0.00;0.00;0.00;0.99;0.01;0.60;0.78
796463364872409088;5.00;0.00;0.00;0.00;0.02;0.98;0.43;0.57
796463364847390720;4.00;0.00;0.00;0.01;0.65;0.34;0.51;0.45
796463364826349568;460.00;0.00;0.00;0.01;0.84;0.16;0.61;0.27
796463364742533120;27.00;0.00;0.00;0.05;0.95;0.01;0.65;0.78
796463364729868288;7274.00;0.00;0.00;0.01;0.28;0.71;0.66;0.40
796463364700565507;253.00;0.00;0.00;0.00;0.92;0.07;0.59;0.65
796463364696395777;3.00;0.00;0.00;0.01;0.78;0.22;0.62;0.33
796463364679565312;16.00;0.00;0.00;0.01;0.78;0.22;0.44;0.30
